religion,quoteID,date,topic
other,2017-03-27-081421,2017-03-27 00:20:23,politics
Methodism,2017-12-04-041653,2017-12-04 10:00:21,politics
Baptists,2017-07-13-057563,2017-07-13 00:59:16,politics
Methodism,2017-12-05-137164,2017-12-05 10:00:22,politics
Catholic Church,2017-08-23-156403,2017-08-23 14:09:10,opinion
Catholic Church,2017-09-21-169945,2017-09-21 03:50:27,tennis
other,2017-05-08-002144,2017-05-08 03:59:08,politics
Presbyterianism,2017-06-02-026298,2017-06-02 09:00:36,middleeast
Judaism,2017-03-13-026258,2017-03-13 09:00:02,magazine
Catholic Church,2017-09-23-092897,2017-09-23 15:09:38,business
Catholic Church,2017-03-17-049455,2017-03-17 20:17:34,politics
Judaism,2017-08-24-097503,2017-08-24 00:47:51,us
other,2017-09-06-042932,2017-09-06 07:55:32,europe
Baptists,2017-06-03-055645,2017-06-03 22:35:23,us
Catholic Church,2017-05-26-104826,2017-05-26 23:46:32,politics
Presbyterianism,2017-03-13-064961,2017-03-13 20:16:54,politics
other,2017-04-07-085098,2017-04-07 16:37:12,books
Anglicanism,2017-07-23-083041,2017-07-23 13:06:18,media
other,2017-08-14-090317,2017-08-14 22:04:46,europe
Presbyterianism,2017-10-30-003019,2017-10-30 12:42:44,opinion
atheism,2017-08-08-007191,2017-08-08 18:11:05,books
Catholic Church,2017-03-12-008329,2017-03-12 05:30:23,sports
Methodism,2017-12-18-097273,2017-12-18 10:00:01,politics
Presbyterianism,2017-04-09-068332,2017-04-09 15:52:30,politics
Baptists,2017-08-03-146034,2017-08-03 04:00:01,fashion
Catholic Church,2017-10-30-032248,2017-10-30 09:00:18,review
Judaism,2017-12-08-134964,2017-12-08 10:09:54,television
Presbyterianism,2017-03-18-023593,2017-03-18 10:00:25,style
Presbyterianism,2017-09-15-174092,2017-09-15 09:00:25,politics
Presbyterianism,2017-12-14-022625,2017-12-14 10:28:43,briefing
Presbyterianism,2017-12-29-059344,2017-12-29 01:42:29,politics
Baptists,2017-10-14-061631,2017-10-14 16:17:05,politics
Baptists,2017-10-21-023202,2017-10-21 23:38:34,sunday
Methodism,2017-07-20-041824,2017-07-20 19:13:44,politics
Catholic Church,2017-09-07-051464,2017-09-07 09:00:03,politics
other,2017-05-12-098184,2017-05-12 00:45:55,tennis
Catholic Church,2017-02-18-038477,2017-02-18 01:51:40,opinion
Judaism,2017-03-25-057435,2017-03-25 18:29:19,sunday
Catholic Church,2017-12-12-015081,2017-12-12 09:51:24,television
Presbyterianism,2017-10-25-018066,2017-10-25 23:34:06,politics
Presbyterianism,2017-12-16-079255,2017-12-16 02:30:02,opinion
Catholic Church,2017-04-08-034063,2017-04-08 00:36:33,politics
other,2017-08-07-018511,2017-08-07 07:00:17,politics
other,2017-04-20-033175,2017-04-20 23:34:55,politics
Methodism,2017-10-26-036858,2017-10-26 00:36:35,politics
Presbyterianism,2017-06-10-059400,2017-06-10 00:44:34,opinion
other,2017-08-02-155279,2017-08-02 00:30:17,politics
Presbyterianism,2017-02-16-113197,2017-02-16 23:21:35,opinion
other,2017-10-21-087664,2017-10-21 12:02:08,europe
Islam,2017-08-16-114801,2017-08-16 19:08:21,us
Catholic Church,2017-03-15-008172,2017-03-15 09:15:44,television
Presbyterianism,2017-09-05-019943,2017-09-05 23:47:52,politics
Catholic Church,2017-06-15-115551,2017-06-15 01:14:43,us
other,2017-12-03-060104,2017-12-03 22:49:49,politics
Catholic Church,2017-07-29-018795,2017-07-29 10:00:15,style
Anglicanism,2017-03-12-057047,2017-03-12 21:59:35,music
other,2017-04-08-031314,2017-04-08 00:24:38,politics
Catholic Church,2017-11-17-006506,2017-11-17 23:33:23,nyregion
Catholic Church,2017-02-16-022330,2017-02-16 18:16:22,americas
Presbyterianism,2017-05-06-017192,2017-05-06 18:30:27,opinion
Catholic Church,2017-09-04-027625,2017-09-04 23:23:12,us
Christianity,2017-07-07-038026,2017-07-07 09:00:35,politics
Methodism,2017-08-12-033326,2017-08-12 10:16:14,politics
Islam,2017-03-24-058630,2017-03-24 19:24:08,television
Catholic Church,2017-10-08-046715,2017-10-08 00:31:26,politics
Presbyterianism,2017-12-20-001673,2017-12-20 22:37:24,politics
Anglicanism,2017-08-21-091740,2017-08-21 10:09:24,asia
Presbyterianism,2017-04-20-116266,2017-04-20 19:54:11,europe
Catholic Church,2017-06-14-034606,2017-06-14 14:46:08,business
Islam,2017-09-24-075940,2017-09-24 11:21:42,middleeast
Catholic Church,2017-08-02-065460,2017-08-02 07:01:07,europe
Presbyterianism,2017-03-15-060545,2017-03-15 12:36:59,us
other,2017-08-15-084292,2017-08-15 21:38:44,opinion
other,2017-10-09-104563,2017-10-09 21:32:59,politics
Judaism,2017-07-31-049448,2017-07-31 09:00:21,politics
Catholic Church,2017-04-12-066319,2017-04-12 16:25:08,media
Presbyterianism,2017-04-27-170651,2017-04-27 07:21:15,opinion
Presbyterianism,2017-08-25-000955,2017-08-25 07:00:13,politics
Judaism,2017-12-15-007240,2017-12-15 18:20:32,politics
Catholic Church,2017-05-30-092836,2017-05-30 09:00:21,politics
Presbyterianism,2017-09-28-131417,2017-09-28 21:32:06,politics
Methodism,2017-03-15-026006,2017-03-15 07:21:23,opinion
Catholic Church,2017-04-26-144496,2017-04-26 09:01:43,television
Methodism,2017-06-26-105198,2017-06-26 21:53:38,politics
Catholic Church,2017-08-26-076833,2017-08-26 10:09:46,us
Christianity,2017-04-03-039376,2017-04-03 09:00:26,media
Catholic Church,2017-06-21-153625,2017-06-21 00:40:57,politics
Judaism,2017-04-27-069537,2017-04-27 17:51:50,asia
Catholic Church,2017-10-17-005732,2017-10-17 09:29:55,briefing
other,2017-09-13-094073,2017-09-13 17:36:49,politics
atheism,2017-04-18-013281,2017-04-18 14:00:15,opinion
Judaism,2017-02-17-005176,2017-02-17 22:27:42,business
atheism,2017-06-09-099561,2017-06-09 05:00:26,television
Catholic Church,2017-11-20-106497,2017-11-20 16:35:28,europe
other,2017-06-22-068972,2017-06-22 19:51:29,politics
Presbyterianism,2017-03-08-093856,2017-03-08 17:08:30,politics
Catholic Church,2017-03-15-137107,2017-03-15 14:00:51,politics
other,2017-05-19-071686,2017-05-19 09:00:24,politics
Judaism,2017-11-03-114255,2017-11-03 09:00:23,review
other,2017-09-19-029703,2017-09-19 09:00:18,movies
Presbyterianism,2017-03-24-075585,2017-03-24 22:15:25,politics
other,2017-12-28-024842,2017-12-28 06:45:44,opinion
other,2017-08-11-104628,2017-08-11 18:23:30,asia
Judaism,2017-02-28-011733,2017-02-28 10:00:12,magazine
other,2017-07-10-097631,2017-07-10 20:35:23,europe
other,2017-12-13-079162,2017-12-13 19:49:47,asia
other,2017-07-16-067335,2017-07-16 15:24:45,americas
other,2017-12-01-131755,2017-12-01 17:08:12,style
Presbyterianism,2017-09-14-104722,2017-09-14 21:21:39,politics
Anglicanism,2017-09-06-151758,2017-09-06 22:56:31,politics
Judaism,2018-09-21-100020,2018-09-21 09:00:11,politics
Presbyterianism,2018-04-05-129297,2018-04-05 20:29:57,politics
Methodism,2018-09-14-113396,2018-09-14 04:02:51,politics
other,2018-08-11-049376,2018-08-11 13:22:18,politics
Presbyterianism,2018-07-04-076906,2018-07-04 02:09:12,politics
atheism,2018-09-08-065332,2018-09-08 20:09:15,sunday
Presbyterianism,2018-06-28-128870,2018-06-28 19:39:27,politics
other,2018-04-02-005828,2018-04-02 19:45:04,middleeast
atheism,2018-03-28-011486,2018-03-28 01:54:25,arts
Presbyterianism,2018-08-17-009958,2018-08-17 16:57:16,politics
Anglicanism,2018-05-30-019976,2018-05-30 09:00:03,magazine
Catholic Church,2018-06-05-030497,2018-06-05 09:42:35,briefing
Christianity,2018-06-18-041479,2018-06-18 17:16:10,magazine
atheism,2018-03-30-050099,2018-03-30 17:35:55,theater
Christianity,2018-04-19-099941,2018-04-19 09:00:13,television
Judaism,2018-06-22-076049,2018-06-22 21:09:10,politics
atheism,2018-09-05-094234,2018-09-05 19:41:34,movies
other,2018-02-25-074320,2018-02-25 22:42:35,africa
Catholic Church,2018-05-24-142913,2018-05-24 09:00:08,nyregion
Judaism,2018-06-05-005145,2018-06-05 18:16:07,politics
other,2018-05-15-006550,2018-05-15 09:00:08,review
Catholic Church,2018-09-19-040801,2018-09-19 09:30:08,tennis
Presbyterianism,2018-08-30-043222,2018-08-30 00:20:37,politics
Presbyterianism,2018-09-05-058445,2018-09-05 09:00:07,technology
other,2018-09-13-128816,2018-09-13 07:07:22,asia
other,2018-04-07-078867,2018-04-07 03:45:06,europe
other,2018-06-25-111910,2018-06-25 08:00:05,music
atheism,2018-01-16-002633,2018-01-16 14:51:03,asia
Methodism,2018-12-10-022885,2018-12-10 21:33:10,technology
other,2018-04-07-018717,2018-04-07 13:30:11,politics
other,2018-04-04-059787,2018-04-04 08:37:52,europe
Catholic Church,2018-03-15-082882,2018-03-15 08:09:21,tennis
other,2018-03-12-087495,2018-03-12 20:19:16,us
Catholic Church,2018-01-05-085831,2018-01-05 00:53:22,opinion
Anglicanism,2018-02-21-141534,2018-02-21 21:39:56,us
Catholic Church,2018-06-21-116958,2018-06-21 08:44:06,television
other,2018-08-10-004991,2018-08-10 09:37:03,business
Catholic Church,2018-07-11-027676,2018-07-11 06:00:07,europe
Catholic Church,2018-06-10-014124,2018-06-10 01:26:58,nyregion
other,2018-04-24-042814,2018-04-24 22:53:31,politics
Judaism,2018-04-30-046478,2018-04-30 17:00:05,obituaries
Presbyterianism,2018-10-31-063801,2018-10-31 10:00:04,opinion
Catholic Church,2018-10-03-084408,2018-10-03 21:39:12,politics
Catholic Church,2018-09-01-051194,2018-09-01 01:00:07,opinion
atheism,2018-06-11-087867,2018-06-11 09:45:05,opinion
Christianity,2018-12-10-095986,2018-12-10 20:30:12,politics
Catholic Church,2018-04-24-139793,2018-04-24 07:58:04,asia
other,2018-06-30-053776,2018-06-30 12:54:45,us
Presbyterianism,2018-09-21-130210,2018-09-21 04:31:11,politics
Catholic Church,2018-02-02-032901,2018-02-02 10:00:24,review
other,2018-02-28-056754,2018-02-28 16:00:32,politics
Islam,2018-11-20-052670,2018-11-20 01:54:22,middleeast
other,2018-05-15-066303,2018-05-15 16:14:15,arts
other,2018-08-26-028995,2018-08-26 00:29:43,politics
Judaism,2018-06-01-062215,2018-06-01 17:09:26,theater
Methodism,2018-05-23-074418,2018-05-23 09:30:06,opinion
Catholic Church,2018-05-25-068593,2018-05-25 21:57:54,briefing
atheism,2018-02-03-057608,2018-02-03 20:18:11,europe
atheism,2018-05-15-111363,2018-05-15 23:15:36,style
Methodism,2018-02-26-137115,2018-02-26 01:34:11,business
Catholic Church,2018-09-25-137061,2018-09-25 09:09:18,television
Catholic Church,2018-05-10-036353,2018-05-10 23:03:10,politics
Catholic Church,2018-11-28-048010,2018-11-28 20:15:50,europe
Islam,2018-06-19-050866,2018-06-19 16:30:55,europe
other,2018-01-30-069842,2018-01-30 23:13:13,politics
Islam,2018-09-08-031882,2018-09-08 08:19:26,europe
atheism,2018-09-23-009175,2018-09-23 05:00:06,television
other,2018-08-31-019380,2018-08-31 06:59:06,tennis
Baptists,2018-03-09-027095,2018-03-09 10:00:17,nyregion
Catholic Church,2018-09-16-017338,2018-09-16 19:20:05,politics
Judaism,2018-11-26-035784,2018-11-26 23:23:39,politics
other,2018-06-10-049988,2018-06-10 14:53:22,politics
other,2018-11-24-051320,2018-11-24 20:59:47,asia
Baptists,2018-02-15-143832,2018-02-15 19:07:57,nyregion
Presbyterianism,2018-10-23-147139,2018-10-23 20:00:10,politics
other,2018-01-19-006535,2018-01-19 04:53:31,obituaries
Catholic Church,2018-11-28-032216,2018-11-28 20:15:50,europe
Catholic Church,2018-10-28-046367,2018-10-28 17:05:07,obituaries
Catholic Church,2018-08-16-086735,2018-08-16 21:34:10,nyregion
Catholic Church,2018-04-28-066264,2018-04-28 17:06:57,europe
Judaism,2018-06-05-105938,2018-06-05 23:50:22,politics
Methodism,2018-04-26-016979,2018-04-26 00:08:36,politics
other,2018-10-03-056619,2018-10-03 19:27:43,middleeast
Judaism,2018-05-16-073436,2018-05-16 18:58:52,business
other,2018-09-09-033072,2018-09-09 20:34:09,television
other,2018-08-31-071042,2018-08-31 10:00:03,nyregion
Catholic Church,2018-06-13-127642,2018-06-13 19:57:21,briefing
other,2018-09-10-116289,2018-09-10 02:45:13,europe
other,2018-06-08-128083,2018-06-08 03:39:24,europe
other,2018-03-01-005388,2018-03-01 21:20:31,style
other,2018-05-09-008263,2018-05-09 01:34:27,obituaries
other,2018-01-11-039578,2018-01-11 19:53:13,politics
other,2018-06-04-037426,2018-06-04 13:33:29,sports
other,2018-04-14-063223,2018-04-14 18:30:08,sunday
other,2018-01-22-083993,2018-01-22 03:08:36,politics
atheism,2018-06-04-097952,2018-06-04 22:55:08,opinion
Presbyterianism,2018-02-05-133217,2018-02-05 00:29:03,politics
Presbyterianism,2018-12-11-005472,2018-12-11 19:13:15,politics
Presbyterianism,2018-05-03-019617,2018-05-03 14:53:17,nyregion
Islam,2018-08-15-101133,2018-08-15 20:14:03,americas
Judaism,2018-05-17-149702,2018-05-17 02:00:04,obituaries
other,2018-03-29-157857,2018-03-29 04:00:01,style
other,2018-01-03-007182,2018-01-03 18:46:54,europe
Catholic Church,2018-10-11-020409,2018-10-11 09:01:51,television
Islam,2018-03-11-012590,2018-03-11 20:49:40,europe
other,2018-06-24-011907,2018-06-24 09:52:56,middleeast
Presbyterianism,2018-04-20-033631,2018-04-20 18:13:21,politics
Presbyterianism,2018-10-14-015839,2018-10-14 18:18:35,politics
Catholic Church,2018-09-07-044575,2018-09-07 19:44:00,politics
other,2018-03-23-112002,2018-03-23 02:42:09,politics
Catholic Church,2018-09-12-100766,2018-09-12 09:00:08,review
Methodism,2018-09-03-084837,2018-09-03 10:00:04,opinion
Catholic Church,2018-03-04-010753,2018-03-04 10:00:35,politics
atheism,2018-04-10-024002,2018-04-10 19:14:50,books
atheism,2018-08-28-025441,2018-08-28 20:47:33,arts
other,2018-07-19-057481,2018-07-19 09:00:00,books
Methodism,2018-07-18-027305,2018-07-18 11:35:32,politics
Presbyterianism,2018-03-30-047847,2018-03-30 22:42:17,opinion
other,2018-03-02-062934,2018-03-02 22:15:47,europe
Catholic Church,2018-11-10-034343,2018-11-10 17:12:46,politics
Presbyterianism,2018-06-19-078328,2018-06-19 02:23:37,politics
Judaism,2018-04-09-089608,2018-04-09 18:00:01,fashion
other,2018-06-25-074776,2018-06-25 09:45:03,opinion
other,2018-08-28-102779,2018-08-28 19:21:23,politics
Catholic Church,2018-12-12-112450,2018-12-12 10:01:44,television
Catholic Church,2018-02-28-001900,2018-02-28 20:38:20,politics
other,2018-06-25-034930,2018-06-25 08:00:05,music
Judaism,2018-11-02-044029,2018-11-02 18:16:09,us
Judaism,2018-09-18-048347,2018-09-18 01:34:18,politics
other,2018-10-10-074290,2018-10-10 18:48:14,politics
other,2018-02-26-099932,2018-02-26 02:06:11,obituaries
Judaism,2018-08-01-084432,2018-08-01 17:53:04,obituaries
other,2018-05-29-099896,2018-05-29 18:36:18,business
Catholic Church,2018-06-20-115407,2018-06-20 15:02:40,us
other,2018-03-05-052807,2018-03-05 00:43:32,movies
Methodism,2018-02-10-044077,2018-02-10 11:00:25,style
Islam,2018-08-29-074118,2018-08-29 09:00:01,magazine
other,2018-09-17-085243,2018-09-17 09:02:09,africa
Islam,2018-11-12-084780,2018-11-12 16:54:12,sports
Catholic Church,2018-11-14-129402,2018-11-14 00:23:49,us
Baptists,2018-10-07-051559,2018-10-07 03:08:43,politics
Catholic Church,2018-06-18-110244,2018-06-18 04:01:08,politics
Catholic Church,2018-11-09-011540,2018-11-09 10:12:35,television
Presbyterianism,2018-01-03-014732,2018-01-03 00:58:33,technology
Judaism,2018-01-25-026526,2018-01-25 19:33:46,nyregion
other,2018-05-27-041902,2018-05-27 15:02:12,politics
other,2018-09-10-084856,2018-09-10 09:00:05,opinion
Christianity,2018-01-24-121177,2018-01-24 16:46:42,theater
other,2018-12-05-122400,2018-12-05 00:44:46,politics
other,2018-05-11-136294,2018-05-11 12:55:58,europe
atheism,2018-03-20-167373,2018-03-20 02:41:39,europe
Catholic Church,2018-02-13-038123,2018-02-13 22:42:03,americas
other,2018-01-11-049794,2018-01-11 11:47:06,tennis
Presbyterianism,2018-06-08-048164,2018-06-08 14:33:12,politics
Catholic Church,2018-10-08-045756,2018-10-08 00:22:43,politics
Islam,2018-08-02-073749,2018-08-02 12:24:04,asia
Judaism,2018-06-19-101582,2018-06-19 00:57:54,politics
Presbyterianism,2018-03-12-119610,2018-03-12 21:53:30,politics
Presbyterianism,2018-11-17-066663,2018-11-17 16:24:18,politics
other,2018-03-29-165276,2018-03-29 12:00:05,movies
Presbyterianism,2018-07-16-010956,2018-07-16 23:32:22,politics
Judaism,2018-12-19-014873,2018-12-19 18:15:25,middleeast
other,2018-10-23-029013,2018-10-23 17:04:41,us
Catholic Church,2018-01-22-026697,2018-01-22 03:08:36,politics
Catholic Church,2018-06-27-029386,2018-06-27 09:00:21,magazine
Anglicanism,2018-03-11-024075,2018-03-11 09:00:11,politics
other,2018-12-07-069214,2018-12-07 15:10:54,business
Christianity,2018-07-10-073171,2018-07-10 13:00:47,us
Catholic Church,2018-05-18-115274,2018-05-18 14:54:04,europe
other,2018-01-27-071034,2018-01-27 11:00:31,style
Presbyterianism,2018-09-27-127958,2018-09-27 11:00:01,americas
Judaism,2018-04-10-135134,2018-04-10 21:24:25,nyregion
other,2018-04-12-152713,2018-04-12 11:03:16,politics
Presbyterianism,2018-03-19-146135,2018-03-19 17:09:46,politics
Islam,2018-08-18-014040,2018-08-18 15:50:37,asia
Judaism,2018-01-25-042050,2018-01-25 19:33:46,nyregion
Catholic Church,2018-03-22-067674,2018-03-22 17:00:03,politics
Christianity,2018-07-10-050739,2018-07-10 13:00:47,us
Catholic Church,2018-06-02-031345,2018-06-02 13:38:38,politics
Baptists,2018-03-13-079990,2018-03-13 23:30:29,sports
Christianity,2018-03-28-131334,2018-03-28 22:04:54,television
Judaism,2018-11-06-125470,2018-11-06 07:45:04,dealbook
Catholic Church,2018-10-10-029240,2018-10-10 16:41:41,obituaries
Islam,2018-08-15-031908,2018-08-15 15:47:39,europe
Catholic Church,2018-12-04-051638,2018-12-04 17:03:03,europe
Judaism,2018-04-12-066464,2018-04-12 04:52:04,opinion
Judaism,2018-09-28-055390,2018-09-28 00:00:36,middleeast
other,2018-05-16-067339,2018-05-16 00:13:02,politics
Christianity,2018-10-30-071403,2018-10-30 09:25:17,television
Catholic Church,2018-04-14-054805,2018-04-14 17:52:09,politics
Presbyterianism,2018-11-07-082046,2018-11-07 12:30:06,politics
Catholic Church,2018-02-16-117092,2018-02-16 00:51:16,politics
Presbyterianism,2018-01-03-103982,2018-01-03 19:13:47,briefing
Islam,2018-08-29-118334,2018-08-29 09:00:01,magazine
other,2018-05-22-117358,2018-05-22 07:50:41,asia
other,2018-10-24-138321,2018-10-24 22:54:54,technology
Catholic Church,2018-09-06-136168,2018-09-06 08:31:28,television
Anglicanism,2018-08-07-113171,2018-08-07 17:47:17,us
Catholic Church,2018-12-12-011652,2018-12-12 18:49:44,politics
other,2018-02-02-017968,2018-02-02 15:00:21,television
Presbyterianism,2018-05-04-029983,2018-05-04 14:49:48,politics
Islam,2018-06-15-032473,2018-06-15 14:00:05,television
Islam,2018-05-28-023248,2018-05-28 08:44:33,europe
other,2018-06-12-042756,2018-06-12 01:09:18,politics
other,2018-05-21-036998,2018-05-21 09:00:13,nyregion
Presbyterianism,2018-02-01-080808,2018-02-01 12:48:07,politics
other,2018-11-23-072706,2018-11-23 20:13:52,asia
Presbyterianism,2018-04-21-065982,2018-04-21 01:14:15,nyregion
Presbyterianism,2018-07-12-098702,2018-07-12 11:44:22,europe
Catholic Church,2018-01-22-123907,2018-01-22 17:13:48,politics
Catholic Church,2018-09-01-010068,2018-09-01 00:29:17,opinion
Judaism,2018-12-25-006287,2018-12-25 09:00:24,arts
other,2018-05-04-077016,2018-05-04 09:46:29,opinion
Catholic Church,2018-05-29-060957,2018-05-29 09:00:13,politics
Catholic Church,2018-01-23-092951,2018-01-23 01:54:45,politics
Methodism,2018-03-22-112985,2018-03-22 17:00:03,politics
other,2018-12-06-100610,2018-12-06 19:28:26,asia
Islam,2018-05-02-133559,2018-05-02 14:46:00,europe
other,2018-06-26-111229,2018-06-26 00:37:28,us
Catholic Church,2018-11-10-022117,2018-11-10 13:00:08,politics
Baptists,2018-11-02-045996,2018-11-02 16:17:33,politics
Anglicanism,2018-03-15-063108,2018-03-15 23:31:06,europe
Presbyterianism,2018-02-01-095070,2018-02-01 12:48:07,politics
Christianity,2018-05-01-098635,2018-05-01 09:03:27,television
other,2018-10-26-108259,2018-10-26 09:00:26,nyregion
Presbyterianism,2018-03-23-161906,2018-03-23 08:22:16,opinion
other,2018-09-01-000679,2018-09-01 15:32:46,us
other,2018-08-09-001847,2018-08-09 21:24:01,politics
Presbyterianism,2018-09-14-003340,2018-09-14 23:04:07,middleeast
Judaism,2018-09-05-027236,2018-09-05 09:00:15,review
other,2018-10-13-017910,2018-10-13 21:16:49,politics
Judaism,2018-05-15-055918,2018-05-15 23:30:48,nyregion
Presbyterianism,2018-10-12-082669,2018-10-12 07:33:53,asia
other,2018-12-13-084974,2018-12-13 19:34:53,nyregion
Presbyterianism,2018-01-24-123506,2018-01-24 23:00:06,politics
Presbyterianism,2018-01-23-122722,2018-01-23 01:18:14,opinion
Baptists,2018-04-26-155183,2018-04-26 21:02:09,review
Catholic Church,2018-10-26-146340,2018-10-26 13:24:21,sports
other,2018-06-24-004896,2018-06-24 01:49:14,asia
Catholic Church,2018-09-19-043186,2018-09-19 09:30:03,tennis
atheism,2018-06-25-036317,2018-06-25 15:31:25,nyregion
other,2018-08-23-056192,2018-08-23 00:04:32,politics
Islam,2018-05-02-096607,2018-05-02 14:46:00,europe
other,2018-04-19-110913,2018-04-19 21:07:37,politics
Catholic Church,2018-07-24-086615,2018-07-24 08:15:56,television
Judaism,2018-06-19-100465,2018-06-19 22:03:49,business
Presbyterianism,2018-11-30-103624,2018-11-30 00:55:32,politics
Catholic Church,2018-05-01-128136,2018-05-01 09:03:27,television
Catholic Church,2018-01-31-151795,2018-01-31 00:02:27,politics
Catholic Church,2018-06-12-134816,2018-06-12 19:00:04,opinion
Baptists,2018-03-09-026874,2018-03-09 10:00:17,nyregion
Presbyterianism,2018-12-14-025651,2018-12-14 23:51:08,obituaries
Presbyterianism,2018-11-13-030024,2018-11-13 22:59:33,politics
other,2018-12-10-035777,2018-12-10 16:50:47,europe
other,2018-04-27-049970,2018-04-27 17:43:05,review
Catholic Church,2018-04-15-053831,2018-04-15 18:38:16,politics
atheism,2018-09-28-105858,2018-09-28 17:53:29,us
Islam,2018-04-23-112622,2018-04-23 03:45:09,africa
Presbyterianism,2018-01-31-151508,2018-01-31 20:07:14,us
Catholic Church,2018-01-25-008376,2018-01-25 10:23:38,briefing
other,2018-01-18-012873,2018-01-18 15:06:13,tennis
Catholic Church,2018-04-12-026609,2018-04-12 09:02:37,television
Presbyterianism,2018-10-01-022705,2018-10-01 15:48:56,politics
Catholic Church,2018-08-01-034644,2018-08-01 02:22:56,politics
Judaism,2018-11-02-066216,2018-11-02 20:14:44,us
other,2018-03-01-080337,2018-03-01 10:01:09,magazine
other,2018-09-24-074568,2018-09-24 09:00:08,review
other,2018-04-25-105571,2018-04-25 18:22:54,asia
Catholic Church,2018-04-24-112243,2018-04-24 19:54:50,business
Presbyterianism,2018-07-31-088730,2018-07-31 18:44:46,middleeast
Islam,2018-06-09-063198,2018-06-09 15:59:00,asia
Catholic Church,2018-01-05-009654,2018-01-05 09:15:49,television
Presbyterianism,2018-10-05-011746,2018-10-05 03:26:03,politics
Catholic Church,2018-09-01-007228,2018-09-01 16:25:16,music
Presbyterianism,2018-12-28-010720,2018-12-28 16:29:51,europe
Catholic Church,2018-10-25-034830,2018-10-25 18:44:02,obituaries
other,2018-04-14-026738,2018-04-14 10:29:56,middleeast
Presbyterianism,2018-04-04-047740,2018-04-04 00:42:51,politics
other,2018-02-01-054390,2018-02-01 12:48:07,politics
other,2018-07-23-064340,2018-07-23 04:35:13,briefing
Catholic Church,2018-01-26-092008,2018-01-26 15:00:11,style
Presbyterianism,2018-07-04-055922,2018-07-04 00:05:00,opinion
Methodism,2018-08-16-100133,2018-08-16 23:05:45,us
Baptists,2018-03-09-163863,2018-03-09 10:00:17,nyregion
Catholic Church,2018-01-10-148301,2018-01-10 22:34:08,europe
Methodism,2018-06-18-004381,2018-06-18 14:43:49,opinion
Catholic Church,2018-08-29-024505,2018-08-29 22:58:29,nyregion
Catholic Church,2018-03-15-061758,2018-03-15 09:00:10,us
Christianity,2018-11-02-095118,2018-11-02 16:09:43,asia
Baptists,2018-02-15-140702,2018-02-15 15:43:35,politics
other,2018-02-11-069631,2018-02-11 07:59:13,asia
atheism,2018-04-13-143231,2018-04-13 09:00:12,middleeast
Presbyterianism,2018-10-17-152927,2018-10-17 23:27:50,politics
Methodism,2018-07-12-003893,2018-07-12 22:45:57,obituaries
other,2018-11-05-004382,2018-11-05 20:37:52,politics
Presbyterianism,2018-07-23-010613,2018-07-23 03:58:28,middleeast
Catholic Church,2018-05-17-014773,2018-05-17 12:56:13,us
other,2018-12-13-030089,2018-12-13 23:58:01,politics
Judaism,2018-05-13-024746,2018-05-13 14:24:15,middleeast
Islam,2018-05-15-052828,2018-05-15 11:46:28,middleeast
Catholic Church,2018-11-02-052345,2018-11-02 00:28:12,dealbook
